,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Reviewer_ID,Asin,Reviewer_Name,Overall,Review_time,Review_Text,Summary,Category,Brand,Title,Rank,bookType,AvgRating
30,595,595,6357,A1N3GNCJWXQ1ZP,B003TSETIE,"Robert Carnevali ""Typical, middle-aged guy""",3.0,2010,"I wasn't sure how to rate this one, but since Amazon uses three stars to say ""It's OK"", that's what I'll give it. It's an OK story. Nothing special, but nothing bad either.There's little to no drama in the book. All good romances need an obstacle. One lover doesn't feel he's deserving of the love of another, a shameful past, a history of abuse leaves someone's heart shuttered.... what makes a romance a hit to the heart is when love can conquer seemingly impossible odds and thrive. While this story was quite sweet, there were no obstacles with the exception of an event late in the story that, while inconvenient, doesn't really pose as an obstacle to these two men. Here, the men meet, pretty much decide they're perfect for each other, and that's that. Also, the characters could have used a bit more detail and nuance. They didn't come off as being very unique.It was a sweet enough story, but just lacked memorable touches. For instance, Carol Lynn writes a series called Cattle Valley. Her characters in those stories are all quite unique, the setting is imaginative (a closed community built on tolerance, predominately inhabited by gays), and the obstacles within each story compelling (for instance, an anti-religion contractor who falls for the town pastor). This lacks that imagination. This is a light, sweet story that's entertaining if you're between novels and want a diversion before sinking your teeth into something meatier.",An OK book to pass some time.,Literature & Fiction,Visit Amazon's Carol Lynne Page,Coach (Campus Cravings Book 1) - Kindle edition,4460.0,kindle,4.0
85,1720,1720,6356,A1E481YU3ZPK6S,B003TSETIE,Elisa,5.0,2011,"An All Amercan Boys story. Justin is the young coach of the high school football team. He is a good coach and he is gay. And these two things can't work in the little town where he lives, so he has decided to live in the closet and since five years he has not never had a lover. But his heart throbs for Luc, the father of one of his student. And now Luc has a stunning news for Justin: he is gay and he wants Justin in his life. But the town is not ready to have a gay coach near its sons...Justin and Luc are very plain and simple characters. They fall in love, they make love, they decide to live together, everything in a smooth way without drama or trouble. Drama and trouble are outside their home and could be a difficult situation. But Carol Lynne has decided to manage the situation with sharp edges and all ends fine, like in a very american dream.A short story from the new erotic publisher Total E-Bound. A good beginning, not extraordinaire, but satisfying.",Coach (Campus Cravings) by Carol Lynne,Literature & Fiction,Visit Amazon's Carol Lynne Page,Coach (Campus Cravings Book 1) - Kindle edition,4460.0,kindle,4.0
31,747,747,9925,A3OXLZIFNE7JIH,B004A8ZT9A,"Joan Reeves ""It's never too late to live happ...",5.0,2010,"In the Garden of Temptation by Cynthia WicklundSeveral weeks ago, I had the pleasure of interviewing Cynthia Wicklund on [..] and subsequently reviewed her first published novel Lord of Always on that blog and my other one [...]. I bemoaned the fact that she didn't have another book coming out any time soon. Apparently, I wasn't the only one who wanted more from her, and as soon as possible! Cynthia listened to the pleas of her eager new fans and has made her books of The Garden Series available as eBooks.HARD TO BELIEVEReaders, you'll find it hard to believe, but these evocative, emotional romance novels made the rounds of editors and agents for years without capturing a contract. They came close many times, and Cynthia finaled in Romance Writers of America's annual Golden Heart contest for unpublished writers, but the end result was a stack of ""glowing"" rejection letters. Their loss is our gain because we can buy these wonderful romance novels at such low prices.STRONG BELIEFWriters sometimes believe so strongly in the worth of a story that they don't give up, and that's a very good thing for readers because In the Garden of Temptation is a gem worthy of a place on your keeper shelf. Thankfully, eBook reader devices, like my Kindle on which I downloaded In the Garden of Temptation, Book 1 of The Garden Series, make the size of a keeper shelf immense. Let me tell you about this story.NO SPOILERSIt's hard to tell what this story is about without revealing some neat twists, but I'll try.Adam Stanford, Earl of Ashworth, is a man who is honorable and above reproach. He's always done the right thing. Then he meets the beautiful -- and married -- Lady Catherine Bourgeault, the beautiful, young wife of one of the most disreputable men in England.Stunned by a passion and a love that no amount of conscience can deny, Catherine and Adam risk everything for a few moments of stolen bliss. Unknown to them, every event from their introduction to the consummation of their love has been orchestrated by Catherine's evil, demented husband for his own dark purpose.When Baron Bourgeault finally springs his trap, Catherine is forced to break Adam's heart in order to save him. The baron whisks her away to his crumbling castle in the country. As he sinks deeper and deeper into his psychosis, Catherine knows that her life, and all she holds dear, may be forfeit unless the power of redeeming love can save her.CHARGED EMOTIONI read this book while I sat in the surgical waiting room last week. My daughter was having her third surgery in 18 months, and I was a basket case who could hardly take the slow movement of the hands of the clock. A two hour surgery turned into four and continued. If I hadn't had this book to read, I don't know what I'd have done. I can hardly believe that Catherine and Adam's emotional journey captured my attention sufficiently as to calm my nerves and give me brief respite from worry, but it did. I devoured the book.BOTTOM LINEThis is the second novel I've read by Cynthia Wicklund, and it's truly another winner. I can't recommend her books highly enough. She has a way with women characters and the knack for presenting them as likable and honorable even when they may not be engaged in honorable actions. I understand these women, and I like them.Her talent with characters extends to men. In Lord of Always, she took an evil man and made him the kind of man we'd all want in our lives. In Temptation, she takes an honorable man and makes him behave dishonorably, but we don't care! We still like him. We understand how he is in the grip of a love he never expected to feel. We see his battle with his conscience. Despite what he does, he's heroic.I'm off to purchase the next books in the series. Book 2 is In the Garden of Seduction, and Book 3 is In the Garden of Disgrace.Of course, I'm going to buy the Kindle Editions, but you can get them in other formats or in Kindle for other apps, not just for the Kindle Reader. However you read; get this book, and make a place on your keeper shelf.",In the Garden of Temptation: Emotional Keeper,Literature & Fiction,Visit Amazon's Cynthia Wicklund Page,In the Garden of Temptation (The Garden Series Book 1) - Kindle edition,5224.0,kindle,4.5
89,2095,2095,9956,A4MB1EPDJ29YR,B004A8ZT9A,"m e-l ""Loves to Read!""",4.0,2011,"The summary is explained well. The Earl of Ashworth, Adam Stanford, is a good & honorable man who is enticed, by the promise of exceedingly well-bred twin horses, to the castle of the suspicious Baron Bourgeault. Instead of purchasing the outrageously priced pair, the Earl instead falls in love with the young & beautiful Baron's wife, Lady Catherine Bourgeault. A brief but impactful affair follows. The affair is resumed later when the Baron & his wife take up residency in London. But is this really a case of star-crossed love, or is there something...or someone...more sinister playing as puppet master?The characters were brought to life and their story made me feel like I was part of it. Some scenes were rather intense while building up suspense as the story of Adam and Catherine developed. I always enjoy books with epilogues and was happy to see one.",In the Garden of Temptation,Literature & Fiction,Visit Amazon's Cynthia Wicklund Page,In the Garden of Temptation (The Garden Series Book 1) - Kindle edition,5224.0,kindle,4.5
32,678,678,7684,A2BZAW8N35KZMQ,B00403MNZ8,Katie H,5.0,2010,"Oh my G-d, BEST free download ever. A short, short prequel to the novel Me, Myself and I. I was laughing so hard I had tears streaming down my face. The main character has multiple personalities and is described as ""a loon training to be an FBI agent who was as silent and spooky as Batman when she wasn't turning somersaults in trees and kicking over ladders and freaking out over lost opportunities to administer meds to bewildered felines.""I've got to go buy the novel Me, myself and I that follows this prequel (even though it is priced at more than I would normally pay). I haven't been this entertained by a character in years!",Delightful!!!,Literature & Fiction,Visit Amazon's MaryJanice Davidson Page,"Outta the Bag (Me, Myself and Why? Prequel) (Cadence Jones series) - Kindle edition",11587.0,kindle,5.0
33,653,653,7150,A12V4ITKRZFOYK,B003XVYJ2S,Petrichor,2.0,2010,"I found the warnings regarding sex, violence and (gasp!) Aussie spelling amusing.I found this short story less amusing. The point of view moves between characters to reveal a rather popular plot-twist in a more modern, urban setting. The different voices are very similar and only distinguishable by the names atop the chapters. I was rather disappointed.",Love the warnings!,Literature & Fiction,Visit Amazon's Naomi Kramer Page,Dead(ish) - Kindle edition,19648.0,kindle,2.0
34,660,660,7300,A2TXWBMHZ7VN6B,B003YH9LP6,"Moses Siregar III ""ScienceFictionFantasyDOTnet""",5.0,2010,"I don't normally read mysteries, so I can't compare these stories to others in the same genre, but I can say that each of these stories was well-written, creative, and entertaining. They're definitely more than worth the price of admission.",High Quality Short Stories,Literature & Fiction,Visit Amazon's Camille LaGuire Page,"Waiter, There&#39;s a Clue In My Soup! Five Mystery Stories - Kindle edition",20269.0,kindle,5.0
35,828,828,12992,ADFC9EHGPMJTA,B004FPYZNE,rackoflamb,1.0,2010,"Not much happens in this 200-location teaser. A rich playboy falls for a model, who then goes missing. There's possibly foul play. And that's all we get.I dunno - it felt like it might develop into a murder mystery. Is this supposed to be the beginning of a book? Because it is definitely not a stand-alone story. Even though it's free, I think most people will end up deleting it. I did.","No character development, no plot, no resolution",Literature & Fiction,Visit Amazon's Jackie Collins Page, A Santangelo Story,22939.0,kindle,1.0
36,813,813,12363,ADAV1X0HE71JZ,B004E9U72E,"Tonyak ""Author Tonya Kappes""",5.0,2010,"Lola is found up to her knees in another mystery! It's a fun, exciting tale that will NOT let you put it down until you solve the mystery! It's a great prequel to the Lola Cruz Mystery series!!",Lola madness,Literature & Fiction,Visit Amazon's Melissa Bourbon Ramirez Page,"The Lola Cruz Christmas Story, A Prequel (Lola Cruz Mysteries) - Kindle edition",24116.0,kindle,5.0
37,294,294,3430,A1MOPACWABVEZA,B002WYJFU8,GraceKrispy (MotherLode blog),3.0,2010,"Argus is in a dead-end job, with a crappy living situation and an uneventful life. He is largely absent from the world, choosing not to interact with his many roommates, and having little experience with quality human interaction. That is, this is Argus' life until now. A mysterious encounter with a stranger leaves Argus with a strange box filled with seemingly unrelated artifacts. He doesn't know what it all means, and, with an absent family and no real friends, he doesn't have anyone to ask. When one of his roommates reaches out to him in kindness one night and notices the odd collection, the roommates set out on an adventure to discover the meaning behind the mystery.Tom Lichtenberg has written a short novel that is both appealing and spellbinding as you discover clues right along with Argus. The desire to figure out the meaning behind the box of items keeps you reading until the end. That ending, however, felt somewhat abrupt and rushed, and was a bit of a disappointment after the path of discoveries. It is hinted that this experience has left Argus changed, and I would have liked a little more information about that change and what impact it might have. I wanted to know more about what happened to the other characters at the end as well. I wanted a little more, and I would be interested in further stories in this same vein.The writing style is unique, but well-suited to this type of unconventional story. The character of Argus is fairly well-developed. He is a very insular man who has very few authentic interactions with others, preferring to spend endless hours alone with his own thoughts. There is just enough information given to make you wonder more about Argus' family, as well as his experiences with others growing up. Some of this backstory may well be included in ""Snapdragon Alley,"" a prequel of sorts to this book, where Argus' older brother holds center stage. I also want to know much more about the character of Fulsom. How did he end up needing to be ""in charge"" of the situation presented at the end?MotherLode blog",Engaging and fun!,Literature & Fiction,Visit Amazon's Tom Lichtenberg Page, Freak City (Dragon City (Book Two of Four) 2) eBook,29348.0,kindle,3.0
38,634,634,6789,A16U0EYXN7WALA,B003VS0E40,more books!,2.0,2010,"This is a short story that ends very abruptly leaving you wondering where the rest of the story is. Not worth $3.47!The story is about a woman and a man that meets casually once or twice a year at trade shows.  The woman has been fantasizing about the guy for 2 years and finally hits on him in the bar - telling him she is extremely bored and he should spank her and fxxk her. She has heard rumors he is a Dom and while she has played a time or two, is interested in learning more. The Dom starts to dominate her in the bar and takes her back to his room for the evening. At the end of their interlude, he annouces he is transfering to be near her so they can be together. End of story. No kidding. Save your money.",VERY short story,Literature & Fiction,Visit Amazon's Sierra Cartwright Page,S&amp;M 101 - Kindle edition,107826.0,kindle,2.0
39,717,717,8658,A1JM30DOAZIC2,B00457VKIK,"P. Van Wie ""Pat Van Wie""",5.0,2010,"This is a wonderful story about two very different people who are drawn together:  Nick, a tough Texas cowboy; and Rachel, who's is determined to to keep her ranch against all odds.  Although there are good and logical reasons why Nick and Rachel should avoid each other, the chemistry between them is just too strong. Their relationship, along with a tender secondary romance and the harsh beauty of the land surrounding them, make this an unforgetable read.",A Beautiful Romance,Literature & Fiction,Visit Amazon's Patricia McLinn Page,Widow Woman - Kindle edition,114784.0,kindle,5.0
82,5213,5213,36996,A1SKW5LE9XXHUH,B005C5YZ86,Kindle Customer,5.0,2011,It was a great but too short.  I read this book in no time and was hooked.  I bought and read all the other books in the series.  I can't wait to read Cade's story in 2012.  Wish it was sooner.,great!!,Literature & Fiction,Visit Amazon's Liliana Hart Page,Dane: Vol 1 (MacKenzies of Montana) - Kindle edition,324.0,kindle,4.0
167,17448,17448,36847,A3PCC1VAPV2AOP,B005C5YZ86,Book lover,4.0,2012,"I like a character that can redeem himself and that would be Dane.  He left his high school sweetheart behind,  but came back ten years later to see her working in the family garage.  If you enjoy a little romance this is a story to read.",The heart wants.,Literature & Fiction,Visit Amazon's Liliana Hart Page,Dane: Vol 1 (MacKenzies of Montana) - Kindle edition,324.0,kindle,4.0
258,50943,50943,36852,A39RTYNKU66J8G,B005C5YZ86,By Bonnie Lamer,4.0,2013,Wow that was one short book. I didn't realize that before I read it. I still enjoyed reading it. If you are looking for a quick read this is the book for you.,Dane,Literature & Fiction,Visit Amazon's Liliana Hart Page,Dane: Vol 1 (MacKenzies of Montana) - Kindle edition,324.0,kindle,4.0
349,84905,84905,37012,A2B9C3FMYW18UN,B005C5YZ86,Linda Linder,3.0,2014,This short story was very good. The characters were very good and the story line was good.  I couldn't put this book down  until I finished it',Dane(MacKenzie Family,Literature & Fiction,Visit Amazon's Liliana Hart Page,Dane: Vol 1 (MacKenzies of Montana) - Kindle edition,324.0,kindle,4.0
83,3165,3165,18912,A27R9AZ3Q9JAZ4,B004TXNZOC,"W. Cromer ""Amazon addicted! !""",4.0,2011,"Nae nae idea what you call a HATER! She wants to stop precious at no cost. This book was definitely a EXCELLENT read, I couldn't put it down until I finished. I would definitely recommend this book to everybody that loves books with drama, suspense,disloyalty etc get it today.",watch your friends!,Literature & Fiction,Visit Amazon's Angel Williams Page,Envy The Root Of All Evil - Kindle edition,1746.0,kindle,4.25
171,15394,15394,18909,A32OG2ITDRS8SG,B004TXNZOC,Phyllis Johnson,5.0,2012,"I give it a 5 star.  It really gives you something to think about. If a person is hating it best to leave them along but unlike Precious, she kept on trying to help Nae Nae out.  Well off to read Eny is the root of evil 2.  Got to see what happens to Nae Nae, this girl is sick.",Awesome,Literature & Fiction,Visit Amazon's Angel Williams Page,Envy The Root Of All Evil - Kindle edition,1746.0,kindle,4.25
262,48278,48278,18895,A2QSZEAPGWVORZ,B004TXNZOC,Alleshia,5.0,2013,This book here........Couldn't put it down! It grabbed me and didn't let go until my midnight shift won the battle with my heavy eyes and had to take a quick nap!!,"Mmm,Mmm,Mmm",Literature & Fiction,Visit Amazon's Angel Williams Page,Envy The Root Of All Evil - Kindle edition,1746.0,kindle,4.25
352,83871,83871,18898,A1CXYNA4NDE5NV,B004TXNZOC,Annapooh,3.0,2014,"I enjoyed the storyline, but the book had A lot of errors. At one point I was lost, it seemed as if part of the beginning was wrote twice. Actually it was. Overall the book was good",It was pretty good,Literature & Fiction,Visit Amazon's Angel Williams Page,Envy The Root Of All Evil - Kindle edition,1746.0,kindle,4.25
84,3626,3626,22652,A3H6P6JIOKELT6,B004X29R8M,Jennifer Wardrip,5.0,2011,"If you like zombie tales, then be sure to pick up this short collection.  I was looking for fun, interesting free reads to try out with my new Kindle, and this was the first.  I picked a winner!  Great, fast read, and most importantly, only a couple of minor editing mistakes that in no way detracted from the story.  I liked it enough that I'm paying $4.99 to download the first full-length book in the series, LZR-1143: INFECTION.  Glad I found this one!",Good Zombie Reading,Literature & Fiction,Visit Amazon's Bryan James Page,LZR-1143: Perspectives - Kindle edition,4358.0,kindle,4.5
358,84022,84022,22650,A25ISU8OAWZ28T,B004X29R8M,G. Smith,4.0,2014,Initially I picked this up because it was free. But it turned out to be a good story. I really like his style of covering the breakout from different perspectives.,Good zombie stories,Literature & Fiction,Visit Amazon's Bryan James Page,LZR-1143: Perspectives - Kindle edition,4358.0,kindle,4.5
86,7349,7349,68716,A1X0BMMV1J3VGF,B006DTZ0KC,cinful1121,5.0,2011,"I loved this book it was wholesome yet steamy, the characters were engaging and a total page turner straight to the end! I felt emotionally invested in this story from the beginnning and was sent on an emotional roller coaster throughout. This author managed to write about serious life and relationship issues just as seamlessly as steamy sex scenes that raise your body temp a coupla degrees ;) I have read everything I can get my hands on by this author and have never been disappointed so I would gladly recommend this book to anyone that enjoys a good solid read! Get it, read it, enjoy as much as I did!",Moved to my fave book from this author!!!,Literature & Fiction,Visit Amazon's Tori Scott Page,Blame it on Texas (Lone Star Cowboys Book 1) - Kindle edition,4691.0,kindle,5.0
87,6238,6238,48546,A14QJKY3DA19AP,B005L34X2C,S. Warfield,5.0,2011,"""Betty and Veronica"" by Elena Aitken takes a good, hard look at a woman with breast cancer and her relationship with her best friend.  They're single, young and vacation in Panama every year and this particular summer  have a conversation on the beach about which comic character they like best, Betty or Veronica. The talk turns serious when one of the women reveals that she has breast cancer.This short story shines with the theme of friendship and what lengths one friend will go to in order to help the other.  If we all have a friend in our lives like these two, then we're very lucky.  The story is well-written and the ending is one I didn't expect. There is also a lesson in doing something that we think we can't do.  A terrific story that doesn't take long to read, but has a wonderful message.",Betty and Veronica,Literature & Fiction,Visit Amazon's Elena Aitken Page,Betty &amp; Veronica (The Escape Collection) - Kindle edition,4954.0,kindle,5.0
88,7265,7265,66367,A3J7BVPSVIH7O2,B00699917E,Jasmine,5.0,2011,I feel as though I have waited a very long time to read this story having read the beginning in the back of a previous book and it was soooooooo good and worth the wait.  Now I am looking forward to the novellas in december.  I have read most of Kathryn shay's books and never been disappointed they just get better and better.  My all time favourite is Code of Honour which is actually the first Kathryn shay book I ever read - keep waiting to see it on kindle!!!  In Too Deep is a must read for any Kathryn shay fan or anyone who likes books about fire fighters.,Fantastic read!,Literature & Fiction,Visit Amazon's Kathryn  Shay Page,In Too Deep (America&#39;s Bravest Book 1) - Kindle edition,5062.0,kindle,5.0
90,6317,6317,49973,A3LHJVYU0XOHZ,B005ME39HU,Fire and Ice,4.0,2011,"Every year around Christmas I get a hankering to start reading fun, light seasonal romances and Bah, Humbug is just that! I downloaded it online for only 99 cents and began reading under my fuzzy blanket with a mug of hot chocolate. Within the first couple of pages I was already feeling pulled onto the small Christmas Street where Lexi, a home design show host and Kyle, a NYT bestselling author end up next to each other as neighbors. Kyle is experiencing a bit of writer's block and working under a tight deadline for the next book in his series. So when he sees a newly built snowman ion his property line he works it into the plot and begins disassembling the piece head first. Lexi doesn't appreciate the psycho snow man killer who has ruined her winter wonderland scene for filing the next day and so the two meet for the first time.You're sure to enjoy this clean, light novella that talks about healing from loss and fresh new beginnings. Things move a little too quickly for me there at the end, but it is set in Utah and if you've ever lived there you know anything can happen between two love birds in a week! I loved Bah, Humbug and would recommend it to anyone. Heather Horrocks has a way with words that I first tasted with her book How To Stuff a Wild Zucchini. To learn more visit her site at [...]",Fun Christmas Read,Literature & Fiction,Visit Amazon's Heather Horrocks Page,"Bah, Humbug! (Christmas Street Romance #1) - Kindle edition",5286.0,kindle,4.0
